Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
18.6,0,0.080829372,1,96.4436,2009,2,0,2,2741.7644
18.7,0,0.0,1,256.6672,2009,2,0,2,3068.0064
17.85,0,0.0,0,93.1436,2002,3,1,1,2174.5028
17.5,0,0.097904029,1,174.8738,1997,0,2,1,2085.2856
10.0,0,0.08929113699999999,1,146.7102,1999,2,2,1,3791.0652
12.6,1,0.059511812000000004,0,128.0678,1985,2,0,3,2797.6916
8.85,1,0.113123893,1,122.5388,2009,2,0,2,1609.9044
12.6,1,0.12311145300000001,1,36.9874,1985,2,0,3,388.1614
12.6,0,0.026480953999999998,1,87.6198,1985,2,0,3,2180.495
13.35,0,0.102511504,0,230.6352,1997,0,2,1,3435.528
9.8,0,0.02681843,0,126.00200000000001,1987,1,0,1,2150.534
13.6,0,0.117818348,1,192.9136,1999,2,2,1,2527.3768
21.35,0,0.06910283099999999,1,259.9278,2009,2,0,2,6768.5228
12.15,1,0.042277867000000004,1,126.5046,1987,1,0,1,373.5138
6.42,0,0.08949892599999999,0,178.1002,1998,3,0,0,358.2004
19.6,0,0.0,1,153.3024,2002,3,1,1,2428.8384
10.0,0,0.025879577,1,265.2226,2002,3,1,1,5815.0972
15.85,1,0.121632721,1,60.622,1997,0,2,1,2576.646
12.6,1,0.25539489600000004,0,196.8794,1985,0,2,0,780.3176
7.39,0,0.067779712,1,143.8812,1997,0,2,1,3134.5864
10.195,0,0.159803853,1,141.5154,1987,1,0,1,850.8924
9.895,1,0.028696932,1,117.0492,1987,1,0,1,810.9444
10.895,0,0.065041581,0,196.3794,2007,3,1,1,3121.2704
12.15,0,0.028760012999999997,1,151.4708,2007,3,1,1,4815.0656
7.905,0,0.010053105,1,249.0408,2009,2,0,2,6258.52
9.195,0,0.048157338,1,106.1622,2002,3,1,1,2117.244
8.365,0,0.071958197,1,38.0506,1999,2,2,1,796.9626
15.1,0,0.17348130399999998,1,194.511,1997,0,2,1,4910.275
12.6,0,0.061082177,1,180.0344,1985,0,2,0,892.172
10.0,0,0.0,0,246.9144,2009,2,0,2,3185.1872
7.97,1,0.040071131,0,87.3514,2002,3,1,1,1062.6168
12.6,0,0.012090074,0,38.2848,1985,2,0,3,484.7024
12.6,1,0.15028599,1,51.0692,1985,0,2,0,147.8076
12.6,0,0.026015518999999997,1,255.8356,1985,2,0,3,2543.356
17.7,0,0.195068226,1,185.4266,1998,3,0,0,184.4266
19.35,0,0.033082215,0,172.5738,2004,0,1,1,4865.6664
13.65,1,0.078946455,0,186.024,2002,3,1,1,1118.5439999999999
17.6,0,0.041700756,1,164.8526,2002,3,1,1,2302.3364
8.645,0,0.14342264300000002,1,95.84100000000001,1997,0,2,1,2027.361
15.6,1,0.10529607199999999,1,170.1764,1997,0,2,1,3435.528
15.85,1,0.121531501,1,59.222,1987,1,0,1,599.22
18.25,0,0.0,1,164.7526,2002,3,1,1,4604.6728
7.855,0,0.011324862,1,189.6188,2007,3,1,1,2285.0256
7.825,0,0.186357148,1,254.3698,1999,2,2,1,5580.7356
8.39,1,0.024205661,1,114.0176,1997,0,2,1,2290.3520000000003
12.85,0,0.033230816,1,172.3422,1999,2,2,1,1207.0954
12.6,0,0.113720344,1,89.9804,1985,0,2,0,643.1628
19.0,0,0.11255650699999999,1,104.9622,2007,3,1,1,1587.933
5.905,0,0.0,1,222.5456,2002,3,1,1,5305.0944
7.76,0,0.05935224099999999,1,101.87,1997,0,2,1,1697.79
11.8,1,0.014087057,1,180.3344,1997,0,2,1,1427.4752
16.75,0,0.045230944,1,187.9556,2009,2,0,2,4693.89
12.6,0,0.293417759,1,194.6136,1985,0,2,0,583.2408
12.6,1,0.031382044,1,171.3764,1985,2,0,3,3091.9752
15.5,1,0.12639886,0,177.0028,2007,3,1,1,2479.4392
6.055,0,0.025403897999999998,0,160.99200000000002,2004,0,1,1,2716.4640000000004
12.6,1,0.039057677,0,155.963,1985,2,0,3,3285.723
6.305,1,0.123115764,1,95.6436,1997,0,2,1,661.8052
20.85,0,0.039624006,0,117.2808,1999,2,2,1,1523.3504
20.75,0,0.040421193,0,122.17299999999999,1998,3,0,0,369.519
8.895,0,0.10527411099999999,0,39.9138,1999,2,2,1,690.4346
19.6,0,0.033970195,1,55.1614,2002,3,1,1,1381.535
19.7,0,0.053212652,0,57.893,2004,0,1,1,622.523
9.8,0,0.024378706,1,114.5492,2004,0,1,1,1274.3412
12.6,0,0.009714595,1,120.0414,1985,0,2,0,487.3656
12.15,0,0.131383762,1,246.046,1999,2,2,1,1231.73
8.75,1,0.07461309,0,187.4556,2004,0,1,1,3755.112
12.6,0,0.028459761,1,149.9708,1985,2,0,3,4363.6532
8.75,1,0.07462720099999999,0,187.8556,1997,0,2,1,1314.2892
13.3,0,0.063695084,1,151.0708,2002,3,1,1,1805.6496
12.6,1,0.045797829000000005,1,178.5344,1985,2,0,3,2854.9504
8.31,1,0.11585722300000001,1,179.1028,1999,2,2,1,3896.2616
16.75,1,0.024832806000000002,1,38.7822,1987,1,0,1,667.7974
19.75,0,0.034027909,1,212.0902,2009,2,0,2,3185.853
17.1,1,0.046769599999999995,1,141.1838,1987,1,0,1,2247.7408
10.5,1,0.11657670199999999,1,163.121,1987,1,0,1,1794.3310000000001
6.635,1,0.0,1,121.3098,2002,3,1,1,2530.7058
12.6,0,0.278974075,1,225.372,1985,0,2,0,679.1160000000001
14.15,0,0.035913805,1,41.4138,1987,1,0,1,812.2760000000001
13.3,0,0.079806266,0,232.53,1997,0,2,1,699.09
8.89,0,0.005505481,1,102.4016,2007,3,1,1,2732.4432
12.6,1,0.064625342,0,176.937,1985,0,2,0,176.437
12.6,0,0.071636937,1,121.7098,1985,2,0,3,4097.3332
9.1,1,0.0,0,173.2054,2002,3,1,1,3151.8972
7.5,0,0.032677677999999995,1,239.0906,1999,2,2,1,5942.265
16.85,1,0.160760054,1,192.4478,2007,3,1,1,4843.695
7.485,0,0.06911065,1,109.0228,2004,0,1,1,2542.0244
11.6,0,0.041177505,1,140.3154,2007,3,1,1,2552.6772
11.65,0,0.040081193,1,227.0694,2009,2,0,2,1141.847
13.0,0,0.035307322,1,47.5034,2007,3,1,1,680.4476
12.65,0,0.063017847,1,159.0578,2002,3,1,1,2085.9514
20.25,1,0.171938781,1,92.512,1998,3,0,0,186.424
8.6,1,0.040197932,1,190.153,2004,0,1,1,3036.048
12.6,0,0.049058014000000004,0,62.7194,2007,3,1,1,866.8716
17.7,0,0.01161096,1,95.041,2004,0,1,1,868.8689999999999
14.15,0,0.183507295,1,82.4276,1997,0,2,1,1137.1864
19.25,0,0.102349519,0,52.7956,2007,3,1,1,928.1252
8.88,0,0.08670898699999999,1,151.7682,1987,1,0,1,762.341
20.5,0,0.032835147,1,40.2822,2002,3,1,1,707.0796
12.6,0,0.033809913,1,180.5976,1985,2,0,3,7968.2944
13.5,0,0.07266912,1,160.292,1997,0,2,1,1438.128
12.6,0,0.144338493,1,224.4404,1985,2,0,3,6976.2524
8.89,0,0.009163216,1,101.7016,1998,3,0,0,101.2016
7.855,0,0.011307038,1,188.5188,2009,2,0,2,952.0939999999999
7.235,0,0.076855628,1,116.0492,1997,0,2,1,1969.4364
12.6,0,0.059956876,1,165.4526,1985,2,0,3,5262.4832
6.92,0,0.038532062,0,60.5852,2002,3,1,1,1314.2892
9.3,0,0.043209581,0,90.8172,2007,3,1,1,535.3032
18.5,0,0.056816465,1,132.1284,1998,3,0,0,263.6568
8.02,0,0.019866705,1,154.5972,2004,0,1,1,1402.1748
9.195,0,0.048331717,1,105.1622,2007,3,1,1,1693.7952
12.8,0,0.091221855,1,105.5938,2002,3,1,1,2143.876
16.6,0,0.027622076000000002,1,177.6344,1999,2,2,1,2676.5159999999996
14.0,1,0.0,1,53.06399999999999,2004,0,1,1,905.488
18.6,0,0.039355947,1,246.3802,1999,2,2,1,7370.406
16.0,0,0.060836524,1,226.8404,2004,0,1,1,6301.1312
17.6,0,0.082316506,1,160.692,2004,0,1,1,1597.92
21.25,0,0.155350299,1,178.237,2004,0,1,1,529.311
7.235,0,0.076841095,1,117.5492,2004,0,1,1,1969.4364
14.6,0,0.151419185,1,50.3692,2007,3,1,1,1034.6532
13.85,1,0.026001976,1,161.52100000000002,2009,2,0,2,1794.3310000000001
13.65,1,0.073209447,1,197.6426,2009,2,0,2,2768.3964
12.6,0,0.041683481,1,31.29,1985,2,0,3,898.83
7.365,0,0.042560252,0,226.172,1997,0,2,1,3169.208
18.35,0,0.014081156000000001,1,223.5746,2009,2,0,2,3589.9936
5.465,1,0.0,1,132.5626,2009,2,0,2,262.3252
18.6,0,0.152918384,0,99.8358,2007,3,1,1,1910.1802
13.85,0,0.030969273999999998,1,140.9154,2007,3,1,1,1701.7848
14.0,1,0.06037677599999999,1,154.5656,1987,1,0,1,2471.4496
14.0,1,0.04192285,1,54.763999999999996,1987,1,0,1,1331.6
12.6,0,0.077367431,0,97.0094,1985,2,0,3,1808.9786
5.905,0,0.045838211,1,222.5456,2009,2,0,2,3315.684
7.27,0,0.071077939,1,114.2518,1997,0,2,1,2618.5914
6.155,1,0.09465987099999999,0,214.55599999999998,1997,0,2,1,2769.728
19.5,1,0.077608838,1,233.4958,2007,3,1,1,5375.0034
15.2,0,0.021327477,1,216.8824,2007,3,1,1,2838.9712
12.15,1,0.042485444000000004,1,125.0046,2009,2,0,2,1743.0644
12.6,0,0.025578526,1,198.8084,1985,2,0,3,5555.4352
12.6,0,0.048980800000000005,0,61.9194,2009,2,0,2,619.194
14.5,0,0.019471688,1,164.821,2004,0,1,1,2120.573
16.6,0,0.122918852,0,173.0738,2007,3,1,1,3823.0236
11.8,1,0.057373797000000004,0,151.4366,1987,1,0,1,1360.2294
13.1,1,0.044155597000000005,0,178.8318,1987,1,0,1,3969.4996
17.7,0,0.291865402,0,115.1834,1998,3,0,0,345.5502
17.85,0,0.0,0,196.5794,1998,3,0,0,585.2382
12.3,1,0.064750025,1,92.6804,2002,3,1,1,1010.6844
11.8,0,0.098312421,1,81.4618,1998,3,0,0,161.1236
12.6,1,0.191013663,1,42.1112,1985,0,2,0,42.6112
11.1,0,0.176573035,1,157.4604,2002,3,1,1,3010.7476
12.6,1,0.060134441,1,153.0656,1985,2,0,3,6024.1584
11.3,0,0.0072946519999999996,0,198.1426,2002,3,1,1,988.7130000000001
12.6,0,0.128478462,1,117.944,1985,0,2,0,239.688
5.75,1,0.075107656,0,112.8176,1987,1,0,1,1374.2112
12.6,1,0.049381405999999996,1,226.8062,1985,2,0,3,4739.8302
11.35,1,0.045165795999999994,1,100.0016,2009,2,0,2,1012.0160000000001
12.6,1,0.09415375,0,165.7526,1985,0,2,0,657.8104
14.0,0,0.028907832,1,130.431,1999,2,2,1,778.9860000000001
19.75,1,0.018059621,1,179.766,2002,3,1,1,2336.958
6.525,0,0.09043609400000001,1,85.0882,1999,2,2,1,2233.0932
10.3,0,0.146399712,0,103.9648,1999,2,2,1,1661.8368
5.78,1,0.07426435599999999,1,264.7568,1999,2,2,1,4745.8224
11.85,1,0.050186725999999994,0,164.1526,2002,3,1,1,3124.5994
16.35,0,0.020631654,0,50.1324,2009,2,0,2,467.3916
12.6,0,0.01561108,1,182.5976,1985,2,0,3,5070.7328
10.5,0,0.041395445,0,37.6164,1997,0,2,1,540.6296
19.0,1,0.097313129,1,48.0718,1997,0,2,1,992.7078
14.6,0,0.059582996,1,238.8538,1999,2,2,1,6008.845
12.6,1,0.09866365199999999,0,62.9194,1985,2,0,3,2105.2596
12.6,1,0.101338651,1,232.63,1985,2,0,3,5359.69
18.75,0,0.052146455999999994,1,104.62799999999999,2002,3,1,1,745.696
5.26,1,0.041764487,1,161.8868,2004,0,1,1,3275.736
18.25,0,0.054344185999999996,1,140.2154,2002,3,1,1,1701.7848
12.6,0,0.07836248400000001,1,177.937,1985,2,0,3,6704.606
15.1,0,0.052339069,0,242.7512,1997,0,2,1,4119.9704
15.5,1,0.042464962,1,81.5934,1998,3,0,0,327.5736
13.65,0,0.06573288299999999,1,45.7402,1999,2,2,1,780.9834
16.1,0,0.023625114,1,189.3846,2002,3,1,1,3630.6074
12.6,1,0.051643608,1,107.3622,1985,0,2,0,317.5866
12.85,0,0.165694219,1,39.7164,1998,3,0,0,231.6984
9.5,0,0.041878397000000005,1,32.99,2004,0,1,1,133.16
13.8,0,0.058091482,0,245.1802,2004,0,1,1,5650.6446
5.78,1,0.0,1,263.7568,2007,3,1,1,2636.5679999999998
19.7,0,0.026903714,1,96.0726,2002,3,1,1,1272.3438
14.65,0,0.0,1,161.5552,1998,3,0,0,324.9104
6.67,1,0.150554711,1,130.0626,1998,3,0,0,131.1626
6.11,1,0.0,0,131.2968,1998,3,0,0,260.9936
13.65,1,0.13497562800000001,1,260.0936,1998,3,0,0,260.9936
17.2,0,0.15616879,0,160.6578,1987,1,0,1,3690.5294
6.32,0,0.0,0,40.2822,2004,0,1,1,1139.1838
4.88,1,0.133700752,1,52.9298,1999,2,2,1,1995.4026
5.425,1,0.115119905,1,88.3514,2007,3,1,1,1416.8224
15.85,1,0.11003099699999999,1,37.2506,1997,0,2,1,265.6542
7.5,0,0.051038045,1,121.7072,2007,3,1,1,3552.7088
12.65,0,0.062837968,1,161.5578,1987,1,0,1,2406.867
12.6,0,0.017116983,1,211.956,1985,0,2,0,213.05599999999998
20.75,0,0.024129332000000003,0,124.17299999999999,1987,1,0,1,2956.152
12.6,0,0.049754975,0,152.134,1985,0,2,0,153.134
9.0,0,0.0,1,79.7644,2004,0,1,1,1649.8524
12.6,0,0.101561568,1,181.9292,1985,2,0,3,3101.2964
12.6,0,0.0059496440000000005,1,165.6526,1985,2,0,3,4769.1254
12.6,1,0.13956116,0,170.4764,1985,2,0,3,3435.528
14.1,0,0.126035694,0,86.4198,2002,3,1,1,1133.8574
7.55,0,0.027164679,1,152.334,2004,0,1,1,2603.278
13.0,0,0.099325278,1,45.406000000000006,1997,0,2,1,605.878
12.6,0,0.04357366,1,192.8846,1985,2,0,3,2293.0152
12.6,1,0.082741482,1,118.7782,1985,0,2,0,119.1782
12.3,1,0.064565202,1,92.9804,1987,1,0,1,1929.4884
12.6,0,0.08455456900000001,1,109.8912,1985,2,0,3,2074.6328
12.6,0,0.058451805,1,79.9618,1985,2,0,3,241.6854
17.25,0,0.113748685,1,251.3724,2002,3,1,1,6795.1548
15.85,0,0.020603511,1,42.7112,2007,3,1,1,639.168
18.85,0,0.052044976,1,192.1846,2004,0,1,1,3248.4382
16.35,1,0.06276442900000001,0,227.6062,2007,3,1,1,7222.5984
14.1,0,0.08797726199999999,0,229.0668,2004,0,1,1,3225.1352
7.905,0,0.010010425,1,249.0408,2004,0,1,1,3755.112
12.0,0,0.033946163,1,179.3976,1987,1,0,1,3440.8544
12.15,1,0.058414678,0,163.4552,2004,0,1,1,974.7312
10.1,0,0.027106459,0,75.367,1999,2,2,1,535.969
17.5,0,0.027022882999999998,1,262.491,2007,3,1,1,5259.82
12.6,0,0.058153409,0,152.034,1985,0,2,0,306.268
17.1,0,0.128937661,0,112.3886,2009,2,0,2,1779.0176
7.785,0,0.088846306,0,61.451,1999,2,2,1,759.012
11.8,1,0.09357779,1,125.9704,1987,1,0,1,1877.556
13.15,1,0.165694678,0,171.8764,2002,3,1,1,3779.0808
12.6,0,0.148392623,1,41.5796,1985,0,2,0,41.2796
8.5,0,0.098438394,1,51.1324,2007,3,1,1,259.66200000000003
8.645,0,0.143303291,1,96.34100000000001,1987,1,0,1,193.082
17.6,1,0.076276208,0,110.9202,2002,3,1,1,1687.8029999999999
9.1,0,0.175103435,1,127.5362,2007,3,1,1,4655.9394
12.8,1,0.023511371,0,225.9404,1987,1,0,1,4950.8888
7.63,0,0.06105276,1,95.4436,2004,0,1,1,1418.154
9.285,1,0.049559042000000005,1,246.4144,2007,3,1,1,1225.072
13.6,1,0.119418124,0,231.03,2002,3,1,1,5359.69
8.895,0,0.072545601,0,176.237,2002,3,1,1,1764.37
16.35,0,0.090486828,1,195.21099999999998,1987,1,0,1,2553.343
17.6,0,0.056245075,1,43.3454,1987,1,0,1,1006.6896
7.975,0,0.014618973,1,85.225,1987,1,0,1,1081.925
15.85,0,0.04347912599999999,1,36.7164,2007,3,1,1,308.9312
15.7,0,0.045166237000000005,1,178.666,1987,1,0,1,2516.724
8.985,1,0.057827101,1,128.83100000000002,1997,0,2,1,1428.141
20.35,0,0.089394766,0,260.1594,1987,1,0,1,2093.2752
6.59,0,0.10550944,0,85.6908,1987,1,0,1,1929.4884
19.85,0,0.005234153,0,264.0884,2004,0,1,1,5829.7448
16.85,0,0.036390174,1,91.4488,1997,0,2,1,2082.6224
12.6,0,0.03292824,0,173.1738,1985,2,0,3,7298.4996
16.75,0,0.081252534,0,256.4988,1987,1,0,1,7452.9652
17.6,1,0.076552407,0,110.5202,2007,3,1,1,450.0808
7.905,0,0.016758568999999997,1,250.4408,1998,3,0,0,500.6816
12.6,0,0.044248175,1,126.20200000000001,1985,2,0,3,3668.558
7.785,1,0.038288087,0,103.1964,2009,2,0,2,736.3748
7.825,0,0.186032678,1,253.0698,2004,0,1,1,6088.0752
12.6,0,0.031867464,1,101.0016,1985,2,0,3,2125.2336
20.75,0,0.021370201000000002,1,153.0024,2007,3,1,1,2277.036
12.6,0,0.193772568,0,190.3846,1985,0,2,0,573.2538
6.26,1,0.009866049,0,151.1366,2004,0,1,1,2267.049
18.2,0,0.082551042,0,147.3734,1998,3,0,0,296.9468
13.0,0,0.099729888,1,46.306000000000004,2009,2,0,2,559.2719999999999
20.25,1,0.018801549,0,222.1772,2004,0,1,1,5559.43
8.695,0,0.11972145099999999,1,95.5094,1999,2,2,1,1237.7222
7.27,0,0.071222087,1,113.5518,2002,3,1,1,569.259
12.6,1,0.060371962,0,174.0712,1985,2,0,3,3866.9664
12.85,0,0.033287541000000004,0,198.4768,2002,3,1,1,1379.5376
7.075,0,0.05858462,0,142.7128,2009,2,0,2,1869.5664
12.6,1,0.11679292,1,196.21099999999998,1985,2,0,3,5499.508000000001
8.195,0,0.031452265,1,94.3462,1999,2,2,1,925.462
7.09,0,0.00721395,1,47.9034,2004,0,1,1,583.2408
6.095,0,0.081196619,1,141.4154,1997,0,2,1,1418.154
19.35,1,0.049916364000000005,0,80.2644,2007,3,1,1,942.7728
6.15,0,0.04627095,1,99.3384,1997,0,2,1,2364.9216
12.6,1,0.02747716,1,87.9856,1985,2,0,3,3251.7672
12.6,1,0.10470453699999999,0,125.2678,1985,0,2,0,254.3356
17.7,0,0.012540003000000001,1,167.0474,2004,0,1,1,5895.659000000001
17.85,0,0.147023834,0,93.7436,2009,2,0,2,1134.5232
9.395,0,0.15965759599999998,1,224.972,2002,3,1,1,7696.648
15.75,0,0.141398626,1,250.5382,2007,3,1,1,2775.7202
7.475,0,0.148821808,0,241.2854,2002,3,1,1,5317.0788
7.075,0,0.0,1,98.0068,2009,2,0,2,874.8612
6.445,0,0.029691762000000003,1,92.6436,1997,0,2,1,1039.9796
19.1,0,0.09671552300000001,0,235.0958,2004,0,1,1,3038.0454
20.25,1,0.014790558999999998,0,193.6162,2004,0,1,1,3848.324
15.0,1,0.054378253,1,59.1904,1997,0,2,1,527.3136
6.67,1,0.123428594,1,89.1514,1997,0,2,1,2390.8878
12.6,1,0.029943462999999997,1,60.222,1985,2,0,3,1677.816
16.7,1,0.052368060999999994,1,112.7176,1987,1,0,1,801.6232
7.07,0,0.09386114400000001,1,115.5834,2002,3,1,1,1267.0174
6.48,0,0.033968647000000005,1,148.0076,2002,3,1,1,886.8456
19.0,1,0.173154079,0,228.27200000000002,1998,3,0,0,452.744
13.35,0,0.139735226,1,147.5392,2002,3,1,1,3877.6192
12.6,0,0.043351895999999994,0,146.6418,1985,2,0,3,4414.254
12.6,0,0.042086652,1,122.4388,1985,2,0,3,5448.9072
9.695,1,0.12848269,1,223.9404,1999,2,2,1,4950.8888
15.0,0,0.049357077,1,62.6168,2007,3,1,1,958.752
11.15,1,0.008326735,0,149.9708,2007,3,1,1,1956.1204
20.85,0,0.021362955,0,103.2306,1999,2,2,1,2404.2038
9.8,0,0.151420934,1,194.3478,1998,3,0,0,387.4956
16.35,0,0.032511818,0,165.0842,1987,1,0,1,994.7052
9.6,1,0.022323658,0,101.29899999999999,2002,3,1,1,1754.3829999999998
12.6,0,0.019292355,1,129.9994,1985,2,0,3,3340.9844
13.35,0,0.048124442999999996,0,216.7166,2002,3,1,1,3918.8988
20.7,0,0.09261307,0,76.367,1987,1,0,1,306.268
12.6,0,0.094697274,1,158.4604,1985,2,0,3,4278.4308
16.2,0,0.035984103999999996,0,260.6278,2002,3,1,1,4425.5726
12.6,1,0.056596985,1,230.9984,1985,2,0,3,9267.936
12.6,0,0.2047,1,76.867,1985,0,2,0,229.701
12.6,1,0.020618324,0,129.3994,1985,2,0,3,2055.9904
5.5,0,0.04709821,1,101.3016,1997,0,2,1,3339.6528
15.1,1,0.087584126,0,221.7456,2002,3,1,1,6410.3224
15.7,1,0.038078899,1,122.9046,2007,3,1,1,1992.0736
7.895,1,0.095102092,0,104.4332,2007,3,1,1,2870.9296
12.6,1,0.011953901999999999,1,164.5184,1985,2,0,3,2807.0128
17.35,1,0.062799379,1,88.18299999999999,1987,1,0,1,539.298
7.285,0,0.031125708999999998,1,174.3054,1987,1,0,1,4377.635
20.25,0,0.026005891,1,180.9976,2002,3,1,1,2716.4640000000004
12.6,0,0.09246392,1,190.9504,1985,0,2,0,383.5008
15.85,0,0.107765165,1,59.5904,1999,2,2,1,703.0848
6.17,0,0.010647476999999999,0,66.3826,1999,2,2,1,1937.4779999999998
19.5,0,0.015749341,1,182.2608,1999,2,2,1,3307.6944
19.2,0,0.077628053,1,197.611,1999,2,2,1,3142.5759999999996
16.7,0,0.0,1,181.2292,2009,2,0,2,2554.0088
20.85,1,0.056695731,0,104.0648,2009,2,0,2,1869.5664
14.5,1,0.063993068,0,260.4594,2002,3,1,1,5494.8474
11.395,1,0.06952926200000001,0,233.1616,1987,1,0,1,6093.4016
7.97,0,0.034452949,1,174.0422,1997,0,2,1,2586.633
7.71,1,0.06670068,1,55.2956,1999,2,2,1,1255.6988
19.25,1,0.034699737,1,141.7496,1997,0,2,1,4093.3384
7.075,0,0.058346939,0,142.2128,1997,0,2,1,3163.8816
12.6,1,0.065203103,0,166.0816,1985,2,0,3,5033.448
11.6,1,0.07892957099999999,1,79.9276,1997,0,2,1,1137.1864
12.6,0,0.18251488100000002,0,98.77,1985,2,0,3,2696.49
12.1,0,0.016895293000000002,1,178.56599999999997,2009,2,0,2,898.83
10.0,0,0.073379745,1,118.244,1997,0,2,1,2756.4120000000003
14.35,0,0.08075758,1,81.896,2002,3,1,1,878.8560000000001
10.395,0,0.11227149800000001,1,58.222,1999,2,2,1,659.1419999999999
12.6,0,0.153741385,0,182.6292,1985,0,2,0,182.4292
8.1,0,0.127929521,0,211.4902,1987,1,0,1,3610.6334
8.05,1,0.07838564,0,256.4646,2004,0,1,1,5153.292
9.195,1,0.078502143,0,108.7596,2007,3,1,1,2588.6304
20.7,1,0.047684831,0,212.5876,2009,2,0,2,1286.3256
15.7,1,0.12315965599999999,0,110.1544,2007,3,1,1,1230.3984
12.6,1,0.0,0,60.2194,1985,2,0,3,1733.7432
12.6,0,0.053392944000000005,1,193.8162,1985,0,2,0,384.8324
16.5,0,0.036715907,1,180.0318,2002,3,1,1,3969.4996
9.0,0,0.065236932,1,176.437,2004,0,1,1,7763.228
6.785,1,0.041947547,0,41.2112,1987,1,0,1,809.6128
19.5,0,0.08288849599999999,1,178.6002,2009,2,0,2,1253.7014
7.575,0,0.055390120999999994,0,195.2768,1997,0,2,1,5715.2272
18.2,1,0.012194556,0,57.7904,1987,1,0,1,1464.76
16.75,0,0.060495243,0,169.8106,1987,1,0,1,3251.1014
7.47,1,0.0,1,214.3218,2004,0,1,1,4274.436
12.6,1,0.014753811,0,231.7958,1985,2,0,3,5375.0034
12.6,0,0.160707489,0,38.019,1985,2,0,3,1318.2839999999999
13.85,1,0.085622362,0,119.4124,2009,2,0,2,2251.7356
6.635,1,0.046350909,1,37.4506,2007,3,1,1,1176.4686
6.11,1,0.102920886,0,130.4968,1997,0,2,1,3523.4136
15.25,0,0.026604781,1,86.2198,2004,0,1,1,610.5386
15.85,0,0.0,1,96.4094,2004,0,1,1,1237.7222
15.2,0,0.031860325,1,235.1248,1998,3,0,0,474.0496
12.6,1,0.0,1,52.6666,1985,2,0,3,717.7324
20.75,0,0.021250002,1,150.5024,1997,0,2,1,2580.6408
10.195,0,0.159936948,1,143.2154,1997,0,2,1,2552.6772
7.605,0,0.12950314599999999,0,164.021,2002,3,1,1,3914.9040000000005
18.0,1,0.142688846,0,88.5514,1997,0,2,1,796.9626
12.6,0,0.179484411,0,228.9352,1985,0,2,0,916.1408
18.35,0,0.08916305599999999,1,191.3504,2002,3,1,1,3259.7568
6.59,0,0.105761491,0,84.8908,1999,2,2,1,1677.816
13.8,1,0.056960814000000005,1,230.0984,1999,2,2,1,3707.1744
21.2,1,0.00704098,1,173.5738,1997,0,2,1,2954.1546
10.5,1,0.011026593999999999,1,166.4842,2009,2,0,2,2652.5472
8.97,0,0.093203257,1,52.7956,2002,3,1,1,1037.3164
12.6,0,0.026916793999999997,1,50.9666,1985,2,0,3,717.7324
10.6,0,0.035264298,1,86.1224,2002,3,1,1,426.11199999999997
